kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,TCE_ID,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability,Disp
9910828,K04897.01,1,FALSE POSITIVE,0.0,8.48032079,15.17209,0.95,0.11,-0.11,0.011917,0.0006730000000000001,-0.000547,009910828-01,0.829708163852,0.0150819263466,0.0150415008732,5449.19413603,1.0821208333793597,0.06419926454977176,-0.05340387675886209,5652,9910828,8.48,0.0025,0.9908369389458834,0.015408560992613222,0.9998552747135321,0.0025,0.9973556365267483,FP
8803757,K04904.01,1,CANDIDATE,0.995,3.5944891000000005,8.480067,0.98,0.14,-0.12,0.00854,0.000608,-0.000601,008803757-01,0.8452155295909999,0.0151318737674,0.0152382178609,5517.11471044,0.7899667177223377,0.05799214611980082,-0.05738898549825847,5656,8803757,3.594,0.00022,0.913139550823155,0.05172861543329306,0.9948110065076963,0.00022,0.9945921480862646,PC
5027859,K05117.01,1,CANDIDATE,0.9840000000000001,33.3726538,8.500976,1.95,0.43,-0.15,0.022464,0.0016010000000000002,-0.001687,005027859-01,0.7611593967970001,0.0257433976589,0.0237769464662,5337.89683518,1.871311813898185,0.1476230687114075,-0.1522045015841519,6051,5027859,33.373,0.097,0.9215080264773738,0.09651599863908657,0.9909007631783007,0.097,0.8947833891500055,PC
5094412,K05124.01,1,FALSE POSITIVE,0.0,276.879492,10.918966,11.67,1.08,-1.42,0.11064,0.019992,-0.073433,005094412-01,0.830899896874,0.027368035054,0.025016081789000003,5320.59850512,10.061073641668758,1.8479339595559598,-6.684513388502253,6053,5094412,276.879,0.93,0.984123542201243,0.9023933324650958,0.8508509867294214,0.93,0.05955956907105946,FP
7516073,K05395.01,1,FALSE POSITIVE,0.0,601.13797,7.961684,1.81,0.46,-0.56,0.011937,0.000667,-0.000951,007516073-01,1.20656852095,0.017735198406499997,0.0179051075764,5734.27549799,1.576270108849957,0.09107323833843901,-0.1277386568657655,5716,7516073,601.138,0.14,0.9840982010070071,0.9532255140294877,0.6706979334122247,0.14,0.5768002227345133,FP
8043638,K00460.01,1,CANDIDATE,1.0,17.58751692,100.84191,4.03,0.68,-0.68,0.033351,0.000754,-0.00034700000000000003,008043638-01,0.933318983364,0.017620795448400003,0.0167199587255,5527.12116534,3.40660998738988,0.10033990689615768,-0.07057384694102613,231,8043638,17.588,8e-05,0.9974988827585693,5.161452194496333e-10,0.9999999999987058,8e-05,0.999919999998706,PC
9575728,K05692.01,1,CANDIDATE,0.9940000000000001,2.64181261,10.91061,0.59,0.01,-0.03,0.007917,0.002668,-0.000662,009575728-01,0.610892664524,0.0019728590227,0.000662761997877,4326.28878865,0.5293086737757832,0.17838327462237238,-0.04426321010383306,6119,9575728,2.642,0.033,0.9628238486279089,0.031555603221893,0.9987418877682622,0.033,0.9657834054719096,PC
12265150,K05963.01,1,FALSE POSITIVE,0.0,1.6860096430000002,34.93605,1.81,0.53,-0.18,0.018813,0.002097,-0.000776,012265150-01,0.946863363982,0.0162031071726,0.0151144583974,5667.60098188,1.9495250696276436,0.21985065421666777,-0.08622566830340872,5809,12265150,1.686,0.94,0.9974957332874594,0.00024018525639890503,0.9999993968571237,0.94,0.05999996381142748,FP
12300524,K05964.01,1,CANDIDATE,0.8320000000000001,32.033211,7.118214599999999,0.85,0.28,-0.08,0.007706999999999999,0.000567,-0.000554,012300524-01,1.13310164729,0.0155606831209,0.014323188909200002,5919.26304128,0.9557354289994123,0.07152745354834694,-0.06975500508426416,5810,12300524,32.033,0.00078,0.8735606945446175,0.12055790415659925,0.9801583650091341,0.00078,0.979393841484427,PC
9844088,K00470.01,1,CANDIDATE,1.0,3.750832927,205.47449,4.61,1.33,-0.42,0.044422,0.000546,-0.000213,009844088-01,0.964044057312,0.0191693200388,0.0179578349855,5629.85239077,4.6868218427117005,0.10956124322417772,-0.09015026690492822,354,9844088,3.751,0.0037,0.9974988827585693,2.1253651059076471e-19,1.0,0.0037,0.9963,PC
12349560,K05965.01,1,CANDIDATE,0.37,43.3975622,8.565752,1.69,0.17,-0.12,0.021385,0.001388,-0.002138,012349560-01,0.653616662507,0.0145906160996,0.014113123617,4587.14792847,1.5297336682590887,0.10499602675368644,-0.15646382034536913,5811,12349560,43.398,0.008,0.9256611825719899,0.11686749813351477,0.989372491167577,0.008,0.9814575112382363,PC
10187017,K00082.01,1,CANDIDATE,1.0,16.145671932,210.27057,2.48,0.16,-0.1,0.030636,0.000272,-0.002572,010187017-01,0.740370511502,0.005342687259689999,0.00570648650023,4746.01487028,2.482359226655562,0.028401140762131894,-0.20927923314743307,558,10187017,16.146,8.4e-06,0.9974988827585693,1.0622852712891736e-19,1.0,8.4e-06,0.9999916,PC
10187017,K00082.02,2,CANDIDATE,1.0,10.31174786,65.31853000000001,1.34,0.09,-0.05,0.016562999999999998,0.000184,-0.001463,010187017-02,0.740370511502,0.005342687259689999,0.00570648650023,4746.01487028,1.3420588807643317,0.017778411202904836,-0.11899372251481889,559,10187017,10.312,0.00015,0.9974988827360547,6.033864684898547e-07,0.9999999984870748,0.00015,0.9998499984873017,PC
10187017,K00082.03,3,CANDIDATE,1.0,27.4536146,21.377993,0.95,0.06,-0.04,0.011753,0.001326,-0.001246,010187017-03,0.740370511502,0.005342687259689999,0.00570648650023,4746.01487028,0.95231649010585,0.10766204732048607,-0.1012267651401352,560,10187017,27.454,0.0098,0.996938193619646,0.00677753991847592,0.9999790427139349,0.0098,0.9901792480953383,PC
10187017,K00082.04,4,CANDIDATE,1.0,7.07136119,19.823141,0.63,0.04,-0.02,0.007798,0.002241,-0.000586,010187017-04,0.740370511502,0.005342687259689999,0.00570648650023,4746.01487028,0.6318526325062043,0.18163991880136482,-0.04773122871924502,561,10187017,7.071,0.0048,0.996396083090261,0.005849454283770295,0.9999787183177904,0.0048,0.9951788204698649,PC
10187017,K00082.05,5,CANDIDATE,1.0,5.28691996,13.874478,0.51,0.03,-0.02,0.006312,0.001203,-0.000595,010187017-05,0.740370511502,0.005342687259689999,0.00570648650023,4746.01487028,0.5114457317747064,0.09754595663869237,-0.048372268968164246,562,10187017,5.287,0.016,0.9863876174442618,0.018593435797571077,0.9997385448359296,0.016,0.9837427281185547,PC
10187017,K00082.06,6,CANDIDATE,1.0,22.4098677,8.511797,0.73,0.05,-0.03,0.009062,0.001423,-0.001685,010187017-06,0.740370511502,0.005342687259689999,0.00570648650023,4746.01487028,0.7342714228996182,0.11542385197284381,-0.13664862554832266,563,10187017,22.41,0.26,0.919041945262227,0.07673750065050317,0.992678379989854,0.26,0.734582001192492,PC
