kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
10730034,K01305.02,2,CANDIDATE,0.978,6.18670882,11.189779,1.21,0.06,-0.1,0.01265,0.000839,-0.0004730000000000001,0.8420000000000001,0.045,-0.067,5113,1362,10730034,6.187,0.00028,0.9134721827664706,0.05001794868588269,0.9950126379268949,0.00028,0.9947340343882753
10973814,K01307.02,2,CANDIDATE,1.0,20.34237838,23.735342000000006,2.88,0.44,-0.36,0.024633,0.005401,-0.003071,1.071,0.163,-0.134,5514,1401,10973814,20.342,0.11,0.9968225663959608,0.00493966246119579,0.9999841763568307,0.11,0.8899859169575793
10973814,K01307.01,1,CANDIDATE,0.9990000000000001,44.8520997,27.30246,3.35,0.51,-0.42,0.028610000000000007,0.002579,-0.0033490000000000004,1.071,0.163,-0.134,5514,1400,10973814,44.852,0.049,0.9981989842680126,0.004021123639441238,0.9999927155346474,0.049,0.9509930724734497
4164994,K01320.01,1,CANDIDATE,1.0,10.50682978,336.95108,9.01,1.2,-0.7,0.105491,0.003215,-0.001652,0.782,0.104,-0.061,5127,1449,4164994,10.507,0.0031,0.9987168513824418,3.162851118389109e-32,1.0,0.0031,0.9969
4074736,K01328.01,1,CANDIDATE,0.909,80.9669561,45.888737,5.04,1.03,-0.37,0.062648,0.00156,-0.000792,0.737,0.151,-0.054000000000000006,5611,1491,4074736,80.967,0.035,0.998715446408401,0.0001719405873950145,0.9999997788109892,0.035,0.9649997865526045
4072526,K01329.01,1,CANDIDATE,0.995,33.1996355,30.042027,2.85,0.15,-0.25,0.029607,0.001337,-0.000679,0.8170000000000001,0.04,-0.062,5103,1492,4072526,33.2,0.00018,0.9984628938212521,0.0017217591485529267,0.999997344827552,0.00018,0.999817345305483
10271806,K00733.01,1,CANDIDATE,1.0,5.924993927,58.546432,3.15,0.21,-0.14,0.042444,0.003876,-0.00562,0.679,0.046,-0.029,5016,1139,10271806,5.925,6.2e-06,0.998716787814894,2.0877406148691143e-06,0.9999999973175381,6.2e-06,0.9999937973175548
10271806,K00733.02,2,CANDIDATE,1.0,11.34934848,36.493874,2.39,0.17,-0.1,0.03229,0.000367,-0.001288,0.679,0.046,-0.029,5016,1140,10271806,11.349,2.8e-06,0.9986718589296826,0.00026411858168371013,0.9999996486539533,2.8e-06,0.9999968486549371
10271806,K00733.03,3,CANDIDATE,1.0,3.13295351,20.515207,1.39,0.09,-0.06,0.018691,0.000842,-0.000492,0.679,0.046,-0.029,5016,1141,10271806,3.133,2.9e-05,0.9928985033573048,0.006644061482266353,0.9999521619156547,2.9e-05,0.9999231633029593
10271806,K00733.04,4,CANDIDATE,1.0,18.64349986,14.95795,2.14,0.14,-0.09,0.028845,0.005347,-0.003312,0.679,0.046,-0.029,5016,1142,10271806,18.643,0.0015,0.9726117689500182,0.030267637216374838,0.9991210764665506,0.0015,0.9976223948518508
10272442,K00734.01,1,CANDIDATE,1.0,24.543456600000006,46.01647,3.08,0.91,-0.28,0.031008,0.000589,-0.000248,0.91,0.269,-0.084,5955,1176,10272442,24.543,0.94,0.998714562683611,4.648280670451914e-05,0.9999999401695799,0.94,0.05999999641017485
