kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,KIC,KOI,koi_disposition,gaia_iso_prad,gaia_iso_prad_errp,gaia_iso_prad_errm,gaia_iso_sma,gaia_iso_sma_errp,gaia_iso_sma_errm,gaia_iso_insol,gaia_iso_insol_errp,gaia_iso_insol_errm,ZAMSFlux,Flag,insolation,TCE_ID,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability,Disp
10552611,K00338.02,2,CANDIDATE,0.9990000000000001,3.10762684,12.351362,0.73,0.04,-0.03,0.008591,0.001858,-0.000824,10552611,338.02,CONFIRMED,0.7466401561111146,0.16195185098644813,0.07246614293759476,0.03920318307336642,0.0005476897750713672,0.0006510228994882784,203.98944735360192,13.610634075924265,13.393485696225634,161.33727275072042,,203.98944735360192,010552611-02,0.795917884957,0.013196918944999999,0.011815292559499998,4836.28555214,0.7483339327023579,0.16231924383541851,-0.07263053465368552,264,10552611,3.108,0.0016,0.9975158020069573,0.07796629717565272,0.9997894154353304,0.0016,0.9981897523706338,PC
9027909,K03428.01,1,CANDIDATE,0.988,64.6589166,13.318464,2.12,0.35,-0.42,0.013934,0.00088,-0.000552,9027909,3428.01,CONFIRMED,1.9944487525627623,0.14222550133922446,0.10085368170204806,0.33092284624618445,0.006210967833629717,0.007007867643896246,20.250218475388746,1.9510273495687411,1.922630546724824,13.18854270118336,AO,20.250218475388746,009027909-01,1.3108340516700001,0.0434096986618,0.0411958047775,6141.80216782,1.9989732220570375,0.14254814434586494,-0.10108247143939271,4378,9027909,64.659,0.002,0.9975158020069573,0.15986879641974042,0.999526104033319,0.002,0.9975270518252524,PC
9761615,K03911.01,1,CANDIDATE,1.0,1.79110997,22.395866,1.29,0.41,-0.14,0.011842,0.000482,-0.000268,9761615,3911.01,CONFIRMED,1.1993235080223072,0.056820975042662675,0.03923646769988449,0.028446728001425687,0.0004401627254716082,0.0006049354164171198,1052.9897874251108,82.73025921017033,85.07059042420916,838.7396696960678,,1052.9897874251108,009761615-01,0.927495751264,0.0224892222248,0.021911831762799996,5751.82102572,1.2020442109828824,0.05694987520511866,-0.039325476856396084,4138,9761615,1.791,8.6e-07,0.9975158020069573,0.006465826583777218,0.9999837928121741,8.6e-07,0.9999829328261123,PC
4814502,K04004.01,1,CANDIDATE,1.0,4.94330596,18.537338,1.41,0.19,-0.13,0.012786,0.00015900000000000002,-0.002441,4814502,4004.01,CANDIDATE,1.2192715113230237,0.027883208323079032,0.2338521413999657,0.054941289733481766,0.000824481350448815,0.0010673181524759117,221.07150574944802,15.589547246020956,15.553062509553206,176.0390188285456,AO,221.07150574944802,004814502-01,0.8733058423819999,0.01676061148,0.016069120580000002,5576.02185106,1.2220374669541878,0.02794646225492269,-0.23438264231084419,5257,4814502,4.943,2.8e-06,0.9975158020069573,0.017913433652632507,0.9999545749419076,2.8e-06,0.9999517750690978,PC
8142787,K04005.01,1,CANDIDATE,0.997,178.139072,17.83006,2.25,0.22,-0.16,0.023396,0.001222,-0.000687,8142787,4005.01,CONFIRMED,2.3581170033716012,0.1353831332331489,0.08712996768704022,0.6086252202030519,0.010177417486101913,0.0121539781643055,1.9659828109290447,0.15759831572051672,0.1525942676561225,1.474057147104093,AO,1.9659828109290447,008142787-01,0.9230481927200002,0.021998623434900003,0.020701429892599998,5544.94099743,2.3634664656889335,0.13569025411332478,-0.08732762474908838,5258,8142787,178.139,0.005,0.9975158020069573,0.2984756377073761,0.9989404229246841,0.005,0.9939457208100607,PC
5688683,K04097.01,1,CANDIDATE,0.985,2.790643481,14.718759,0.99,0.09,-0.07,0.014965,0.005599,-0.001562,5688683,4097.01,CANDIDATE,1.1398343509000115,0.4268232047018897,0.12018681600332172,0.03465879498239032,0.00041550413360990246,0.0003874740114656047,125.56088779271951,7.306576347595202,6.4266476425391375,103.914668057694,AO,125.56088779271951,005688683-01,0.6975344460770001,0.010814140952899998,0.0104294080188,4300.23892005,1.1424201008434718,0.4277914665169104,-0.12045946356166201,4956,5688683,2.791,0.021,0.9975158020069573,0.04416114059129625,0.9998849406221253,0.021,0.9788873568690607,PC
8951205,K04099.01,1,CANDIDATE,0.996,4.95060632,14.243670000000002,1.28,0.22,-0.1,0.016375999999999998,0.000406,-0.001148,8951205,4099.01,CANDIDATE,1.3951174682867753,0.05243540927840936,0.10456044850547824,0.053239966331300737,0.000810885600251494,0.0011334503843191074,150.5106141320661,13.859722359842873,14.81930934757128,124.92889423625836,,150.5106141320661,008951205-01,0.780195760538,0.022039195054700002,0.0206824300957,5268.77187041,1.3982823359817123,0.052554360647500756,-0.10479764715947362,4959,8951205,4.951,0.036,0.9975158020069573,0.051296746417707054,0.9998653439556554,0.036,0.9638701915732518,PC
3747817,K04103.01,1,CANDIDATE,0.9990000000000001,184.77271,16.886051000000002,2.41,0.22,-0.1,0.027576,0.00136,-0.000793,3747817,4103.01,CONFIRMED,2.9528260966019864,0.16509511879132271,0.11506610776505988,0.6012346707113498,0.011684285995733344,0.007971816189644548,1.894047591975856,0.16665988919372232,0.14455230777413328,0.9131890791330766,,1.894047591975856,003747817-01,0.980634660309,0.025828834333700004,0.025788199584699998,5291.01487436,2.959524675133426,0.16546964224180755,-0.11532713883629646,4962,3747817,184.773,0.00071,0.9975158020069573,0.3769294967563528,0.9984934298611864,0.00071,0.9977844995259849,PC
3747817,K04103.02,2,CANDIDATE,0.868,14.2378417,7.9679656,1.1,0.1,-0.04,0.012587,0.002031,-0.0005690000000000001,3747817,4103.02,CANDIDATE,1.3478104902063095,0.22035693543731366,0.07048780678752775,0.1088716749123574,0.0021157928911812174,0.0014435384347187578,57.76291636635282,5.0826397707680995,4.408423175437856,27.849598198112783,,57.76291636635282,003747817-02,0.980634660309,0.025828834333700004,0.025788199584699998,5291.01487436,1.350868040539035,0.22085682205057303,-0.07064771058606792,4963,3747817,14.238,0.037,0.9975158020069573,0.23669391726386338,0.999227755548989,0.037,0.9622563285936764,PC
7826659,K02686.01,1,CANDIDATE,1.0,211.032819,58.995075,3.43,0.21,-0.13,0.04577,0.00043,-0.005856,7826659,2686.01,CANDIDATE,3.5090757283914065,0.06698342419540053,0.4526211416779796,0.6176332791290347,0.008318281681116443,0.006519463330586261,0.468574616138337,0.03181963166746385,0.02851547571649337,0.3697702202581801,HZ,0.468574616138337,007826659-01,0.70212181605,0.0116669168687,0.0114870829048,4475.09065536,3.5170361766434897,0.06713537819221531,-0.4536479269214482,3925,7826659,211.033,0.00015,0.9975158020069573,2.2393945399832164e-05,0.9999999442292142,0.00015,0.9998499442375799,PC
