kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
10973814,K01307.01,1,CANDIDATE,0.9990000000000001,44.8520997,27.30246,3.35,0.51,-0.42,0.028610000000000007,0.002579,-0.0033490000000000004,1.071,0.163,-0.134,5514,1400,10973814,44.852,0.049,0.9983584881369532,0.0038919193662130774,0.9999935758617043,0.049,0.9509938906444808
4275739,K01317.01,1,FALSE POSITIVE,0.0,2.171827838,1758.7235,58.56,16.17,-6.44,0.601913,2.25737,-0.240467,0.8909999999999999,0.246,-0.098,5650,1446,4275739,2.172,0.8,0.9987726529282833,1.0529108253819915e-165,1.0,0.8,0.19999999999999996
4078157,K01319.01,1,FALSE POSITIVE,0.002,16.025018977000002,294.42953,1069.01,277.8,-92.14,12.407403,66.14389,-10.17077,0.789,0.205,-0.068,5776,1448,4078157,16.025,,0.9987726529282833,1.9490105338557736e-28,1.0,1.0,0.0
4164994,K01320.01,1,CANDIDATE,1.0,10.50682978,336.95108,9.01,1.2,-0.7,0.105491,0.003215,-0.001652,0.782,0.104,-0.061,5127,1449,4164994,10.507,0.0031,0.9987726529282833,1.790561159656503e-32,1.0,0.0031,0.9969
4372768,K01327.01,1,FALSE POSITIVE,0.0,15.640251500000002,14.437648,18.11,2.85,-2.32,0.200775,70.08412,-0.082123,0.826,0.13,-0.106,5346,1490,4372768,15.64,1.0,0.9702610696797989,0.031119664812000503,0.999015532221631,1.0,0.0
4074736,K01328.01,1,CANDIDATE,0.909,80.9669561,45.888737,5.04,1.03,-0.37,0.062648,0.00156,-0.000792,0.737,0.151,-0.054000000000000006,5611,1491,4074736,80.967,0.035,0.9987717225814556,0.00016192173209594833,0.9999998008383582,0.035,0.9649998078090156
4072526,K01329.01,1,CANDIDATE,0.995,33.1996355,30.042027,2.85,0.15,-0.25,0.029607,0.001337,-0.000679,0.8170000000000001,0.04,-0.062,5103,1492,4072526,33.2,0.00018,0.9985754477007993,0.0016560148107164613,0.9999976336361336,0.00018,0.9998176340620791
4150539,K01330.01,1,FALSE POSITIVE,0.0,8.65306587,33.64578,19.78,1.43,-1.74,0.261014,44.23445,-0.08348799999999999,0.6940000000000001,0.05,-0.061,4641,1493,4150539,8.653,1.0,0.9986917625710889,0.0004352490411854228,0.9999994295967478,1.0,0.0
4150539,K01330.02,3,FALSE POSITIVE,0.0,94.219289,14.341499,2.15,0.15,-0.19,0.028332,0.001175,-0.000742,0.6940000000000001,0.05,-0.061,4641,1494,4150539,94.219,0.49,0.9843457099093695,0.1642683626676188,0.9968741163424119,0.49,0.50840579933463
4150624,K01334.02,3,FALSE POSITIVE,0.0,94.225938,15.880621,1.93,0.45,-0.14,0.020742,0.000794,-0.000728,0.852,0.198,-0.062,5421,1534,4150624,94.226,0.064,0.9897737737759563,0.1237417163010783,0.9985409725837362,0.064,0.934634350338377
4150624,K01334.01,1,FALSE POSITIVE,0.0,8.6531216,28.871054,22.58,5.25,-1.64,0.2427,36.03447,-0.627551,0.852,0.198,-0.062,5421,1500,4150624,8.653,1.0,0.9984170061760728,0.0012177027633955182,0.9999980669739529,1.0,0.0
10271806,K00733.01,1,CANDIDATE,1.0,5.924993927,58.546432,3.15,0.21,-0.14,0.042444,0.003876,-0.00562,0.679,0.046,-0.029,5016,1139,10271806,5.925,6.2e-06,0.9987726162589928,1.9052543241094145e-06,0.9999999976586437,6.2e-06,0.9999937976586583
10271806,K00733.02,2,CANDIDATE,1.0,11.34934848,36.493874,2.39,0.17,-0.1,0.03229,0.000367,-0.001288,0.679,0.046,-0.029,5016,1140,10271806,11.349,2.8e-06,0.9987400379247244,0.00025051358010685655,0.9999996838850055,2.8e-06,0.9999968838858906
10271806,K00733.03,3,CANDIDATE,1.0,3.13295351,20.515207,1.39,0.09,-0.06,0.018691,0.000842,-0.000492,0.679,0.046,-0.029,5016,1141,10271806,3.133,2.9e-05,0.9937973325802361,0.006471319839538673,0.999959346950832,2.9e-05,0.9999303481297704
10271806,K00733.04,4,CANDIDATE,1.0,18.64349986,14.95795,2.14,0.14,-0.09,0.028845,0.005347,-0.003312,0.679,0.046,-0.029,5016,1142,10271806,18.643,0.0015,0.9750574166731605,0.029831476366955652,0.9992134274091931,0.0015,0.9977146072680794
10272442,K00734.01,1,CANDIDATE,1.0,24.543456600000006,46.01647,3.08,0.91,-0.28,0.031008,0.000589,-0.000248,0.91,0.269,-0.084,5955,1176,10272442,24.543,0.94,0.9987711474858955,4.344681917235598e-05,0.9999999465422557,0.94,0.05999999679253539
10272442,K00734.02,2,CANDIDATE,0.9740000000000001,70.2780911,10.722873,2.54,0.75,-0.23,0.025584,0.001309,-0.000918,0.91,0.269,-0.084,5955,1177,10272442,70.278,0.039,0.9456543144038879,0.198756137527483,0.9857443016800663,0.039,0.9473002739145437
10358759,K00738.02,2,CANDIDATE,1.0,13.28689997,28.055307,2.78,0.22,-0.13,0.029278,0.000786,-0.000482,0.87,0.067,-0.042,5730,1183,10358759,13.287,0.00045,0.9983338196145123,0.0016132579642891684,0.9999973031844318,0.00045,0.9995473043979989
10358759,K00738.01,1,CANDIDATE,1.0,10.3392408,38.329365,2.98,0.23,-0.15,0.031329,0.0008029999999999999,-0.000429,0.87,0.067,-0.042,5730,1182,10358759,10.339,0.00072,0.9987540234921943,0.00016480168088350025,0.9999997943709223,0.00072,0.9992797945189752
10395381,K00740.01,1,CANDIDATE,1.0,17.671771399999994,30.951159000000004,2.44,0.27,-0.17,0.032562,0.001883,-0.005142,0.687,0.075,-0.048,4869,1185,10395381,17.672,8.7e-06,0.9986009762540079,0.0009556014757260571,0.9999986599372899,8.7e-06,0.9999899599489485
10418797,K00741.01,1,FALSE POSITIVE,0.0,23.355341391,1094.4517,21.55,5.8,-1.93,0.218013,0.003888,-0.000592,0.905,0.244,-0.081,5754,1186,10418797,23.355,0.94,0.9987726529282833,2.760565103917534e-103,1.0,0.94,0.06000000000000005
10419211,K00742.01,1,FALSE POSITIVE,0.0,11.521446064000001,628.3708,150.51,39.76,-13.31,1.625358,2.847129,-0.663339,0.848,0.224,-0.075,5795,1187,10419211,11.521,,0.9987726529282833,9.37138059327994e-60,1.0,1.0,0.0
10601284,K00749.01,1,CANDIDATE,1.0,5.349553819,48.504196,2.55,0.16,-0.24,0.025706,0.0008449999999999999,-0.000453,0.899,0.057,-0.086,5190,1229,10601284,5.35,1.2e-05,0.9987718221600226,1.6394160694522002e-05,0.9999999798399649,1.2e-05,0.9999879798402068
10601284,K00749.02,2,CANDIDATE,0.98,3.94105221,22.749151,1.7,0.11,-0.16,0.017105000000000002,0.0007030000000000001,-0.000557,0.899,0.057,-0.086,5190,1230,10601284,3.941,2.6e-06,0.9962968313790435,0.004081892020510074,0.9999847656958547,2.6e-06,0.999982165735464
10601284,K00749.03,3,CANDIDATE,0.971,8.10904807,9.776852,1.3,0.09,-0.12,0.013127000000000002,0.0008699999999999999,-0.000503,0.899,0.057,-0.086,5190,1231,10601284,8.109,0.0014,0.8809632574303492,0.06875212610992,0.990024283989802,0.0014,0.9886382499922164
10662202,K00750.01,1,CANDIDATE,1.0,21.67699193,24.54073,2.95,0.12,-0.23,0.032666,2.1e-05,-0.005743,0.784,0.032,-0.054000000000000006,4954,1232,10662202,21.677,4.4e-05,0.9975653883021717,0.004158138140609203,0.9999898094677754,4.4e-05,0.9999458099161588
10662202,K00750.02,2,CANDIDATE,0.915,5.04413987,8.172602000000001,1.18,0.04,-0.1,0.012998,4e-06,-0.001851,0.784,0.032,-0.054000000000000006,4954,1266,10662202,5.044,0.42,0.8144784118739814,0.08862724570109473,0.9778493697631908,0.42,0.5671526344626507
10662202,K00750.03,3,CANDIDATE,0.929,14.516741,7.5396094,1.45,0.06,-0.11,0.016064,0.003089,-0.002879,0.784,0.032,-0.054000000000000006,4954,1267,10662202,14.517,0.0095,0.7975467415751109,0.12147285281954777,0.9649011674735222,0.0095,0.9557346063825237
10910878,K00757.01,1,CANDIDATE,1.0,16.06864674,137.44981,5.76,0.22,-0.49,0.062161,0.000913,-0.0004280000000000001,0.836,0.033,-0.066,5028,1310,10910878,16.069,2.4e-05,0.9987726529282833,9.801300640276111e-14,0.9999999999999999,2.4e-05,0.9999759999999999
10910878,K00757.02,2,CANDIDATE,0.992,41.19725502,37.877567,3.86,0.15,-0.33,0.041693,0.00118,-0.0006129999999999999,0.836,0.033,-0.066,5028,1311,10910878,41.197,0.00075,0.9987565337704537,0.00036739975973995923,0.9999995424139052,0.00075,0.9992495427570948
