kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,iso_rad,iso_rad_err1,iso_rad_err2,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
8806123,K00523.01,1,CANDIDATE,0.989,49.41121127,113.15371999999999,6.77,1.07,-0.46,0.061051999999999995,0.000513,-0.0010949999999999998,1.3296557353159542,0.043677165560129134,-0.042689492010548065,8.884286646797278,0.30123199962375863,-0.32672650868635617,1245,8806123,49.411,0.48,0.9972578266524583,1.5631194169410522e-06,0.9999999957018627,0.48,0.5199999977649686
8806123,K00523.02,2,CANDIDATE,1.0,36.856775799999994,33.134407,2.68,0.43,-0.18,0.024202,0.000883,-0.000453,1.3296557353159542,0.043677165560129134,-0.042689492010548065,3.5218748841280845,0.1729002983980504,-0.13088481133783697,1246,8806123,36.857,4.4e-05,0.9972578147888467,0.014760424513428544,0.9999588048265539,4.4e-05,0.9999148066391415
10266615,K00530.01,1,CANDIDATE,1.0,10.94026745,24.899769,2.08,0.52,-0.18,0.022096,0.004553,-0.000987,0.8317090457282931,0.014718146916804398,-0.013467224790080223,2.011261506869601,0.41595680873373253,-0.09556101642133617,1288,10266615,10.94,0.0018,0.9972561146352438,0.024535131734385304,0.999930795232038,0.0018,0.9981309198006203
11090765,K00538.01,1,CANDIDATE,1.0,21.21712312,43.6958,2.97,0.99,-0.33,0.027013,0.00045099999999999996,-0.0034340000000000004,1.0429589052950052,0.02083678685681667,-0.01963685180824504,3.083354581834606,0.0802790274247326,-0.3962440552159901,1298,11090765,21.217,0.00069,0.9972578266271019,0.0033032133243158426,0.9999908870073579,0.00069,0.9993008932953229
10396708,K07320.01,1,CANDIDATE,1.0,8.50207749,8.070675,0.75,0.07,-0.07,0.009618999999999999,0.000684,-0.000651,0.7149447000617598,0.008650072658415444,-0.009218710442574498,0.7526374623592536,0.054288651650170924,-0.05185365947066347,7554,10396708,8.502,0.0027,0.9634637628101228,0.14770331200114212,0.9934281466132008,0.0027,0.9907458906173451
3934657,K07676.01,1,CANDIDATE,0.904,5.3694084,7.346263400000001,0.62,0.19,-0.05,0.006556,0.000139,-0.001066,0.9196314322698752,0.013467848019974138,-0.012562732269355892,0.6598363049320535,0.017002714046435455,-0.10766679555542676,7310,3934657,5.369,0.1,0.9456829268675329,0.15162365621879217,0.9897347571923116,0.1,0.8907612814730805
4048898,K07678.01,1,CANDIDATE,0.967,13.091487800000001,7.643167500000001,0.79,0.12,-0.14,0.005595,0.000489,-0.000505,1.1723747491944614,0.016558011558620578,-0.0175088264794534,0.7178769392330439,0.06355598911679146,-0.06567595231341919,7345,4048898,13.091,0.035,0.9550793659263266,0.1647102409077944,0.9907255137646545,0.035,0.9560501207828915
4054784,K07679.01,1,CANDIDATE,1.0,1.8679942999999999,7.4732122,0.7,0.14,-0.07,0.007812,0.001253,-0.000268,0.8575584353468501,0.013495108689045243,-0.013643752572567893,0.7331779807314871,0.118162187256649,-0.02772579280478657,7346,4054784,1.868,0.91,0.9484657184078352,0.1421997144535208,0.9909928555900495,0.91,0.08918935700310442
8489260,K07889.01,1,CANDIDATE,0.386,130.235324,7.605977,2.44,0.68,-0.23,0.024722,0.002133,-0.001436,0.8417908367022682,0.035088904732686554,-0.031645593320280614,2.2775674722011283,0.2182388072690533,-0.15758430989259847,7924,8489260,130.235,0.034,0.9718925832719548,0.5962832736529355,0.9572851831199668,0.034,0.9247374868938879
10160922,K07990.01,1,CANDIDATE,0.789,87.487573,7.8486037,1.87,0.49,-0.16,0.020983,0.001837,-0.001846,0.9908518918922612,0.04243642957276928,-0.03837432466169044,2.2754106120592357,0.22176494396328802,-0.2187198611697297,7735,10160922,87.488,0.013,0.9704444896151735,0.4089677553244321,0.9789260639527217,0.013,0.9662000251213364
6266741,K00508.01,1,CANDIDATE,1.0,7.930583519,71.042274,3.05,0.47,-0.17,0.027038999999999997,0.004337,-0.001019,1.0020060653002059,0.017365162359996408,-0.014644823521646087,2.9651347311789076,0.4783695428665943,-0.11985419857936436,1113,6266741,7.931,1.2e-05,0.9972578266524583,0.0001066113966544085,0.9999997068179427,1.2e-05,0.9999877068214609
6266741,K00508.02,2,CANDIDATE,1.0,16.6658994,48.868120000000005,2.85,0.44,-0.16,0.025297,0.000143,-0.000891,1.0020060653002059,0.017365162359996408,-0.014644823521646087,2.774104563579749,0.0505692166058073,-0.10578660618285868,1114,6266741,16.666,1.7e-06,0.9972578266512278,0.0016675211260759179,0.9999954071358835,1.7e-06,0.9999937071436914
6664842,K06750.01,1,CANDIDATE,0.788,5.21395046,8.140921,1.24,0.19,-0.27,0.008015000000000001,0.0007019999999999999,-0.000695,1.140623974779882,0.022951990718826698,-0.022806439293321372,1.0005285325200932,0.08991504316036379,-0.08903484665564013,6333,6664842,5.214,0.005,0.9643024463136981,0.1397180773766347,0.9939877505586886,0.005,0.9890178118058951
6670610,K06752.01,1,CANDIDATE,1.0,8.9429645,7.133717,0.89,0.06,-0.1,0.013687000000000001,0.004554,-0.0060609999999999995,0.6457255488787588,0.008125939732266385,-0.0085360370961155,0.9672521261053102,0.3220585659740593,-0.428518061484744,6336,6670610,8.943,0.035,0.9401114375266801,0.16308432754881605,0.9875864762701356,0.035,0.9530209496006808
8022244,K00519.01,1,CANDIDATE,1.0,11.90352088,39.721058,2.56,0.81,-0.27,0.023415000000000002,0.000245,-0.0007599999999999999,1.1697415232820283,0.042508976910515806,-0.039026816909170536,2.9975575127348972,0.11335814923194236,-0.13952791196178915,1203,8022244,11.904,0.0033,0.9972578263771282,0.004477380762245805,0.9999876331129985,0.0033,0.9966876739237257
8022244,K00519.02,2,CANDIDATE,1.0,34.0350605,34.10438,2.76,0.88,-0.29,0.025247,0.00022,-0.001066,1.1697415232820283,0.042508976910515806,-0.039026816909170536,3.2320877439256006,0.12078512039984096,-0.17393015604520842,1204,8022244,34.035,0.015,0.9972578198635127,0.012574883729302816,0.9999649822418846,0.015,0.9849655075082563
8167504,K06983.01,1,CANDIDATE,0.99,7.702172900000001,7.75047,0.85,0.12,-0.06,0.008061,0.00053,-0.000678,0.9891222540762143,0.015825709287336176,-0.015167439430235132,0.8726143485351732,0.05904755789794953,-0.07460422770364511,6395,8167504,7.702,0.011,0.9565880193478852,0.15071143181449728,0.9919466684146253,0.011,0.9810352550620645
10395543,K00531.01,1,CANDIDATE,1.0,3.6874698319999997,336.3396,5.78,0.22,-0.34,0.087283,0.009368000000000001,-0.006323,0.6659852468816003,0.004662855432834956,-0.006321747830230429,6.361766564024567,0.6842535100237029,-0.4648019211588753,1289,10395543,3.687,0.27,0.9972578266524583,3.0415704686282207e-18,1.0,0.27,0.73
10450504,K07327.01,1,CANDIDATE,0.963,17.990827300000003,8.188142,1.88,0.15,-0.19,0.022928,0.001811,-0.001397,0.7391485595449923,0.016376313674311804,-0.01617777200928949,1.854732848151325,0.1521528008084034,-0.12007860663285994,7595,10450504,17.991,0.23,0.9669818412369094,0.1675703301841444,0.9931264023464363,0.23,0.764707329806756
11241560,K07426.01,1,CANDIDATE,1.0,6.96197304,8.270107000000001,0.97,0.1,-0.1,0.010933,0.000908,-0.0009369999999999999,0.7749383733469795,0.012636457920083277,-0.012713621225694416,0.9272353290567293,0.07847840310104497,-0.08091053026319481,7253,11241560,6.962,0.0014,0.9668848186123056,0.14153184252444123,0.9943534605507669,0.0014,0.9929613657059959
6665695,K00561.01,1,CANDIDATE,1.0,5.378868001,49.556583,1.86,0.13,-0.09,0.022038,2.1e-05,-0.002176,0.765369050035288,0.008518426249776943,-0.009109733422636324,1.8459780414419609,0.02062058275535854,-0.1835886838080885,736,6665695,5.379,2.4e-06,0.9972578266515936,0.0012662862344424413,0.9999965136608929,2.4e-06,0.9999941136692602
12555616,K07540.01,1,CANDIDATE,0.347,21.980467,8.091769000000001,0.92,0.24,-0.14,0.009047,0.000491,-0.000741,0.8428004522137864,0.01125855441963397,-0.010831062408286464,0.8344739926303519,0.04664040977128012,-0.06918430227444176,6950,12555616,21.98,0.0062,0.9658427967303823,0.17903116172847336,0.9922878083025565,0.0062,0.9861356238910807
4073017,K07681.01,1,CANDIDATE,1.0,6.05552018,7.941939,0.92,0.17,-0.07,0.010451,0.000886,-0.0006730000000000001,0.8568563414015683,0.01444540680651296,-0.015006884685123012,0.9800524497559001,0.08471237218529115,-0.06540371813228757,7348,4073017,6.056,0.062,0.9604954077961665,0.14432411480036372,0.9930628369868502,0.062,0.9314929410936654
8555967,K07894.01,1,CANDIDATE,0.837,347.97611,8.54345,1.62,0.49,-0.15,0.016926,0.001239,-0.000797,1.0342061668772924,0.02312235522263584,-0.02333166600697778,1.9157768248173777,0.14663199937654245,-0.1000279226018229,7929,8555967,347.976,0.014,0.9918755394703929,0.9728440430053515,0.7065626009642887,0.014,0.6966707245507886
10253977,K08201.01,1,CANDIDATE,0.216,392.601892,7.310531599999999,2.25,0.34,-0.2,0.027389,0.010867,-0.002834,0.7503301739035261,0.009605576048777207,-0.009731908695433613,2.2491169743673676,0.8928355611163257,-0.23454225745731394,7815,10253977,392.602,0.93,0.9882597250300846,0.9827724852659698,0.32229992932813467,0.93,0.02256099505296941
6763884,K06763.01,1,CANDIDATE,0.971,2.44693823,7.283589999999999,0.56,0.08,-0.05,0.00495,0.000323,-0.0005549999999999999,1.0106463906196783,0.013137668087612742,-0.011302944645336543,0.5475047406042106,0.03642809180665182,-0.061691529305516656,6343,6763884,2.447,0.91,0.9431519672083476,0.1461702909176591,0.989681380098204,0.91,0.08907132420883833
7447895,K06878.01,1,CANDIDATE,1.0,2.4056253030000003,8.087268,1.11,0.23,-0.09,0.012218000000000001,0.009025,-0.001084,0.9481087107114274,0.018880025485109364,-0.018081992173315964,1.2677736270847635,0.9367993070773494,-0.11504822170102556,6742,7447895,2.406,0.92,0.9628465797859814,0.13473036186129944,0.9939916431440884,0.92,0.07951933145152704
9651602,K07215.01,1,CANDIDATE,0.971,3.90735046,8.902447,0.83,0.16,-0.06,0.009441,0.0007509999999999999,-0.000758,0.8161388688437955,0.02167125847614404,-0.020728503423427136,0.8432677957725188,0.0707177147244569,-0.07101121604101389,7235,9651602,3.907,0.0011,0.975832726401006,0.12682497628340483,0.9964028730520954,0.0011,0.9953068298917381
12116489,K00547.01,1,CANDIDATE,1.0,25.30291816,104.07783,3.95,0.22,-0.37,0.040770999999999995,0.0010279999999999998,-0.000364,0.8338251543904883,0.010845855891951528,-0.010842726023813977,3.7205728435169743,0.10555790154383969,-0.0586862058639164,652,12116489,25.303,0.00017,0.9972578266524583,2.9886035653463066e-06,0.9999999917821718,0.00017,0.9998299917835688
12116489,K00547.03,2,CANDIDATE,0.882,12.3860474,8.032078,1.11,0.06,-0.1,0.011472,0.000397,-0.001336,0.8338251543904883,0.010845855891951528,-0.010842726023813977,1.0468816477600926,0.03870300646301065,-0.1226748489333819,686,12116489,12.386,0.076,0.9633142190723403,0.15692766034343267,0.9929113349365758,0.076,0.9174500734813961
11288772,K07435.01,1,CANDIDATE,1.0,1.36752316,10.241317,0.82,0.13,-0.06,0.007198,0.000363,-0.00053,1.0111377805460178,0.03147316786172505,-0.028665027475059838,0.7965364163035448,0.04720519192659814,-0.06284712155606713,7295,11288772,1.368,0.033,0.9872893082041969,0.10622135765741668,0.9984699464537711,0.033,0.9655204382207966
