# Description of IPAC file format: http://exoplanetarchive.ipac.caltech.edu/docs/ddgen/ipac_tbl.html
# Astropy Python tool to read IPAC format: http://docs.astropy.org/en/stable/api/astropy.io.ascii.Ipac.html
# IDL tool to read IPAC format: https://irsa.ipac.caltech.edu/tools/pro/read_ipac_table.pro
# The accompanying documentation for this file is: KSCI-19114
# Column Definitions
# TCE_ID
# The Threshold Crossing Event (TCE) identifier, consisting of the Kepler Input Catalog (KIC) ID, followed by a dash, and then the planet number
# KIC
# The KIC ID of the TCE.
# Disp
# The Robovetter Disposition Value (PC or FP)
# Score
# The Robovetter Disposition Score
# NTL
# The Robovetter Not Transit-Like Flag
# SS
# The Robovetter Stellar Eclipse Flag
# CO
# The Robovetter Centroid Offset Flag
# EM
# The Robovetter Ephemeris Match Flag
# period
# The period of the TCE in days from DV
# epoch
# The epoch of the TCE in Barycentric Kepler Julian Date (BKJD)
# Expected_MES
# The expected value for the Multiple Event Statistic (MES) based on the injection parameters. (Note this value only exists for INJ1, INJ2, and INJ3, and is "null" for OBS, INV, and SCR1.)
# MES
# The Multiple Event Statistic (MES) of the TCE
# NTran
# The number of transits identified by TPS with SES != 0 (i.e., those used in calculating the MES.)
# depth
# The depth of the TCE in parts per million (ppm)
# duration
# The duration of the TCE in hours (hrs)
# Rp
# The modeled radius of the planet in units of Earth radii (R_earth)
# Rs
# The assumed size of the target star in solar radii (R_sun)
# Ts
# The assumed temperatue of the target star in Kelvin (K)
# logg
# The assumed surface gravity of the star in cm/s**2 (cgs)
# a
# The modeled semi-major axis of the orbit in Astronomical Units (AU)
# Rp/Rs
# The modeled ratio of the planet radius to stellar radius
# a/Rs
# The modeled ratio of the semi-major axis to the stellar radius
# impact
# The modeled impact parameter
# SNR_DV
# The modeled Signal-to-Noise Ratio (SNR) of the signal
# Sp
# The modeled insolation flux of the planet in units of Earth's insolation flux (S_earth)
# Fit_Prov
# A flag indicating if the fit information comes from supplemental fits (1) or original fits (0)
TCE_ID KIC Disp Score NTL SS CO EM period epoch Expected_MES MES NTran depth duration Rp Rs Ts logg a Rp/Rs a/Rs impact SNR_DV Sp Fit_Prov skygroup
001434660-01 1434660 FP 0.0 1 0 0 0 1.35924535 132.02311048 "" 10.5377 965 32.2 0.8038 1.609 2.657 7526 3.878 0.02998 0.005551 10.26 0.6192 6.1 22577.808 0 84
001434660-02 1434660 FP 0.0 1 0 0 0 0.52850478 131.94408302 "" 17.8644 2110 59.1 1.0776 2.084 2.657 7526 3.878 0.01597 0.007189 3.8 0.1083 17.2 79556.983 1 84
001434660-03 1434660 FP 0.0 1 0 0 0 0.52850192 131.73430815 "" 16.8691 2092 63.8 1.0353 2.167 2.657 7526 3.878 0.01597 0.007473 3.95 0.1 18.7 79556.842 1 84
001434660-04 1434660 FP 0.0 1 0 0 0 0.52850601 131.50448799 "" 11.2207 1899 6.1 1.5 0.683 2.657 7526 3.878 0.01597 0.002356 2.44 0.5 1.8 79557.188 1 84
001434800-01 1434800 FP 0.0 1 0 0 0 1.49880569 131.51439941 "" 9.6686 883 50.2 8.0563 1.619 1.643 6814 4.128 0.02814 0.009033 1.03 0.9908 10.1 6585.759 1 84
001434800-02 1434800 FP 0.0 1 0 0 0 1.49881752 132.01052208 "" 10.8488 879 67.1 4.3089 1.359 1.643 6814 4.128 0.02814 0.007581 2.73 0.0984 14.0 6585.549 1 84
001434800-03 1434800 FP 0.0 1 0 0 0 1.49883065 132.48678745 "" 11.7023 877 45.7 5.467 1.299 1.643 6814 4.128 0.02814 0.007244 1.32 0.9066 13.3 6585.536 0 84
001570349-01 1570349 FP 0.0 1 0 1 0 0.58127984 132.27684116 "" 24.4458 2259 32.4 2.2889 0.691 1.197 5883 4.293 0.01376 0.00529 1.9 0.4178 9.4 8121.864 1 84
001570349-02 1570349 FP 0.0 1 0 1 0 41.2486068 165.12549422 "" 11.8402 3 526.3 1.9432 2.853 1.197 5883 4.293 0.2357 0.021845 136.75 0.5771 9.9 27.678 0 84
001570349-03 1570349 FP 0.0 1 0 1 0 34.83588641 160.08595108 "" 10.228 4 162.7 1.0887 1.644 1.197 5883 4.293 0.21059 0.012583 178.92 0.6997 3.7 34.673 1 84
001570349-04 1570349 FP 0.0 1 0 1 0 29.60178114 133.20123727 "" 10.078 5 93.7 2.7426 1.369 1.197 5883 4.293 0.18893 0.01048 38.66 0.8952 3.6 43.079 1 84
001571152-01 1571152 FP 0.0 1 0 0 0 0.60815083 132.08268593 "" 8.6869 2164 1.7 2.0004 0.21 1.58 7015 4.201 0.01589 0.001216 2.39 0.0998 0.5 21449.92 1 84
001571152-02 1571152 FP 0.0 1 0 0 0 1.31648139 132.18903313 "" 13.641 500 108.2 3.0364 1.685 1.58 7015 4.201 0.02658 0.009773 3.16 0.3858 8.6 7666.396 1 84
001571717-01 1571717 FP 0.0 1 0 0 0 1.24837725 132.70685689 "" 9.3955 1055 21.0 4.8434 1.011 2.134 8302 4.034 0.02759 0.004342 1.88 0.4747 9.4 25466.216 1 84
001571717-02 1571717 FP 0.0 1 0 0 0 0.56186485 131.90578368 "" 9.2512 1076 26.0 3.1373 1.265 2.134 8302 4.034 0.0162 0.005434 1.12 0.9 12.5 73824.985 1 84
001572114-01 1572114 FP 0.034 1 0 0 0 271.30803217 286.35016495 "" 7.8976 4 1126.6 16.1137 3.455 0.866 5518 4.511 0.78829 0.036558 67.8 0.8925 8.7 1.002 1 84
001572114-02 1572114 FP 0.0 1 0 0 0 366.42041162 373.44755066 "" 8.7565 3 1643.0 63.3166 6.812 0.866 5518 4.511 0.96317 0.072082 17.12 1.0 12.6 0.672 1 84
001573174-01 1573174 FP 0.0 1 0 0 0 0.97927217 132.36058692 "" 16.9399 1337 257.8 5.1144 3.304 1.96 7159 4.035 0.02219 0.015449 1.43 0.5905 11.3 18363.016 1 84
001573174-02 1573174 FP 0.0 1 0 0 0 0.59391184 131.51411882 "" 30.2782 438 1010.2 1.5 6.329 1.96 7159 4.035 0.0159 0.02959 3.16 0.1 -1.0 35769.418 0 84
001573836-01 1573836 FP 0.0 1 0 0 0 3.55707548 134.27725421 "" 8.1322 369 25.1 6.9356 0.757 1.485 6486 4.136 0.04709 0.004674 3.74 0.3526 7.7 1576.836 1 84
001574792-01 1574792 FP 0.0 1 0 0 0 2.78398321 131.65379022 "" 8.1038 480 25.8 4.4723 0.831 1.623 6818 4.165 0.04339 0.004694 4.79 0.1076 6.9 2709.303 1 84
001574792-02 1574792 FP 0.0 1 0 0 0 1.39141896 131.67328436 "" 8.3388 464 28.7 2.6448 0.934 1.623 6818 4.165 0.02733 0.005272 2.99 0.7066 7.4 6829.942 1 84
001575888-01 1575888 FP 0.0 1 0 1 0 390.38728161 307.53173421 "" 7.2317 3 192.5 11.9668 2.446 1.709 6381 4.038 1.09948 0.013115 219.6 0.4999 7.2 3.589 1 84
001575977-01 1575977 FP 0.0 1 0 0 0 0.50737642 131.55289385 "" 9.6283 2598 19.6 1.5001 0.777 1.727 7263 4.123 0.01408 0.004124 2.65 0.1 2.2 37534.283 1 84
001575977-02 1575977 FP 0.0 1 0 0 0 38.6672939 151.98866486 "" 9.0281 3 502.6 1.4327 4.379 1.727 7263 4.123 0.253 0.023237 116.35 0.8536 3.8 116.172 1 84
001575977-03 1575977 FP 0.0 1 0 0 0 9.71192545 137.18162546 "" 8.6602 24 270.5 3.4999 2.941 1.727 7263 4.123 0.10072 0.015608 19.05 0.4744 4.8 733.043 1 84
001575977-04 1575977 FP 0.0 1 0 0 0 73.38977517 147.52020812 "" 9.8021 4 765.2 2.5103 4.908 1.727 7263 4.123 0.38784 0.026041 213.18 0.3764 4.7 49.436 1 84
001575977-05 1575977 FP 0.0 1 0 0 0 17.42800768 147.28269583 "" 8.5606 13 332.9 2.4072 3.265 1.727 7263 4.123 0.14873 0.017324 49.8 0.4735 4.4 336.177 1 84
001575977-06 1575977 FP 0.0 1 0 0 0 39.84413443 138.50558372 "" 7.3763 5 266.2 4.6009 2.868 1.727 7263 4.123 0.25809 0.01522 65.3 0.2372 2.5 111.632 1 84
